student_name	problem_name	skill	selection	actual input	subgoal_name	outcome
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	subtract	SKILL	9.75	[13.74 = -3.65y-9.75]subtract	BUG
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	add	SKILL	9.75	[13.74 = -3.65y-9.75]add	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	typein	LHS	23.49	[13.74+9.75 = -3.65y-9.75+9.75]typein	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	typein	RHS	-3.65Y-9.75+9.75	[13.74+9.75 = -3.65y-9.75+9.75]typein	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	clt	SKILL	-3.65y-9.75+9.75	[23.49 = -3.65y-9.75+9.75]clt	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	typein	RHS	-3.65Y	FinalAnswer	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	auto-fill	LHS	23.49	FinalAnswer	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	divide	SKILL	-3.65	[23.49 = -3.65Y]divide	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	typein	LHS	23.49/-3.65	[23.49/-3.65 = -3.65Y/-3.65]typein	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	typein	RHS	-3.65Y/-3.65	[23.49/-3.65 = -3.65Y/-3.65]typein	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	rf	SKILL	-3.65Y/-3.65	[23.49/-3.65 = -3.65Y/-3.65]rf	OK
STU_9kMr STU_9kMr	13.74 = -3.65y-9.75	typein	RHS	y	FinalAnswer	OK
STU_9kMr STU_9kMr	14 = -22x-94	add	SKILL	94	[14 = -22x-94]add	OK
STU_9kMr STU_9kMr	14 = -22x-94	typein	LHS	108	[14+94 = -22x-94+94]typein	OK
STU_9kMr STU_9kMr	14 = -22x-94	typein	RHS	-22x-94+94	[14+94 = -22x-94+94]typein	OK
STU_9kMr STU_9kMr	14 = -22x-94	clt	SKILL	-22x-94+94	[108 = -22x-94+94]clt	OK
STU_9kMr STU_9kMr	14 = -22x-94	typein	RHS	-22x	FinalAnswer	OK
STU_9kMr STU_9kMr	14 = -22x-94	auto-fill	LHS	108	FinalAnswer	OK
STU_9kMr STU_9kMr	14 = -22x-94	divide	SKILL	-22	[108 = -22x]divide	OK
