Questions,Tag,Questions
"No, I don’t think <<>> would be the right thing to do here.","no,","No, I don’t think it would be the right thing to do here."
"No, <<>> is not correct.","no,","No, it is not correct."
"No, I don’t think putting <<>> is the best move right now.","no,","No, I don’t think it is the best move right now."
"Yes, <<>> would be correct here","yes,","Yes, this would be correct here"
"Yes, <<>> seems reasonable to me","yes,","Yes, this seems reasonable to me"
"Yes, based on the previous step, <<>> would be correct here.","yes,","Yes, based on the previous steps, current step would be correct here."
"Yes, I don’t see any reasons why you shouldn’t enter <<>> in the left/right side.","yes,",
"<<tutee>> got some/a problems wrong on the quiz. It's a good strategy to teach those problems to help <<tutee>> correct the mistakes;; Since  10 = -6-4y <<problem>> was wrong on the quiz, you may want to give 10 = -6-4y <<problem>> to <<tutee>>.;;Start by putting  10 <<x>> on the left hand side and -6-4y <<y>> on the right hand side of the tutoring interface.",got some/a problems wrong on,"Your tutee has got some/a problems wrong on the quiz. It's a good strategy to teach those problems to correct the mistakes;; Since {{10 = -6-4y || problem }} was wrong on the quiz, you may want to teach {{ 10 = -6-4y || problem }} ;;Start by putting expressions to the left of equal sign on the left hand side and expressions to the right of equal sign on the right hand side of the tutoring interface."
<<tutee>> has had some practice on the failed quiz problem. It would be good to see if <<tutee>> can solve it now.;;  Go to the Quiz tab and click the Quiz button,some practice on the failed quiz,Tutee has had some practice on the failed quiz problem. It would be good to see if it can solve the problems now.;;  Go to the Quiz tab and click the Quiz button
"<<tutee>> failed all quiz items. <<tutee>> can do better with some practice on  <<two step equations>> .;; Since <<tutee>> failed on  <<two step equations>>  on the quiz, giving  <<2k+3 = 9>>  would help <<tutee>> correct the mistakes.;; Start by putting  <<2k+3>>  on the left hand side and  <<9>>  on the right hand side of the tutoring interface.",failed all quiz items,"Tutee failed all quiz items. It can do better with some practice on  {{ two step equations || type of equation}} .;; Since tutee failed on {{ two step equations || type of equation}} in the quiz, giving  {{ two step equations || type of equation}}  would help tutee correct the mistakes.;; You can see how  {{ two step equations || type of equation}} looks like from ""Problem Bank"" section;; Start by putting expressions to the left of equal sign on the left hand side and expressions to the right of equal sign on the right hand side of the tutoring interface."
