Tutorin Phase,Question Type,Questions
Pre,Problem identification / problem representational questions (new problem type),"; Can you explain what this equation says?
;	Can you explain what’s happening in this equation?
;	This is new to me. What do I need to know about this equation before I start solving this?
;	I have never solved this type of equation before. Can you explain more on this equation?
;	I have never seen this type of equation before. Can you explain the basic characteristics of these types of equation?
;	This equation does not look exactly like any of the equations we already know how to solve. Can you elaborate more on this equation?
;	I have never seen this type of equation before. Can you explain the basic differences of this type of equation with the ones that we have solved before?
;	Can you point out the differences of this equation with the ones that we have solved so far?
;	Would you help me visualize what this equation is saying?
;	I have seen equations that has variable term on one side and constants on the other. We just performed one action to solve that equation. Can you explain the difference between those equations and the current one?"
Pre,Problem identification / problem representational questions (old problem type),";	I feel like we have solved similar equations like this one. Do we follow any different approach to solve this equation or we stick to our earlier plan?
;	It seems like I have solved such equations before. For example: <example equation>. Is there any exception in this equation that might affect the way I am planning to solve it?
;	I have seen this type of equations earlier where the equation had <equation feature>. We performed two actions in order to solve such problems. Do we do the same here or any different approach to solve this equation? 
// I have seen this type of equations earlier where we have variable and a constant on one side and another constant on the other. We performed two actions in order to solve such problems. Do we do the same here or any different approach to solve this equation?"
Pre,Goal clarification,"; How do I know if the equation is solved?
; What does solving this equation mean?"
During,Plan retrieval,";	What will be your strategy to solve this equation?
;	How long do I need to manipulate this equation to reach to its solution?
;	What do I have to do to the things in the LHS to just have an <<variable term>> in <<the side the equation has variable term>>?
;	What do we need to do if we want LHS simplified to just <<variable term>>?
;	How can we end up with just the <<variable term>> in the << the side the equation has variable term>>?
;	How can we ensure that the equation is still balanced even after the transformations?
;	How would I know that my equation is still correct after performing the transformation action?
;	What is the key to solve this type of equation?
;	We haven’t tackled any linear equations in which variable appears on the both sides but we know how to handle linear equation if the variable only appears on one side. So, can we do something to eliminate variable from one side?
;	I can solve equations like 4x – 2 = 6 or -2 = 6-4x. Do we have any way to turn this equation into the familiar ones that we can solve?;	How do you know that we will get the value of x by just performing one transformation that is “divide 3”?"
During,Plan Clarification,"; Can you elaborate more on those equation types for which we can say that performing just one step will lead us towards the goal?
; Can you tell me a short note on these two scenarios (x-3 = 4) and (3x + 4 = 5) so that I know when we need one action and when we need two?"
During,Summarization/Verification of plan,";	I got it. We are working on a simple equation and by simple we mean, equations that has variable term on one side and constants on the other. We only need to perform one action in order to solve that equation. Did I get that right?
;	We are working on equations that has variable term and some number that is added/subtracted from it on one side and constants on the other. We will need to perform two actions in order to solve that equation. Did I get that right?
;	For equations with variables on both sides, we need to get rid of variable from one side and then we can solve it like the earlier ones. Did I get that right?"
During,Query on what to do next,";What to do next?
;What are we going to do first?
;What should I write in the LHS/RHS?
;Can you show me how to write <<transformation>> in LHS/RHS correctly?"
During,Subgoal retrieval,";	What is your motivation behind doing that?
;	Can you explain what goal will we achieve by “add 9 <<transformation>>” in this equation?
;	Do we always add to eliminate something?
;	How “<<transformation>>” will help us solve the equation?
;	How getting rid of 4 from LHS help us solve this equation?
;	How does this action make the equation easier?
;	Which part of the equation made you know that “add 9” should be applied in this state? "
During,Verification on being subgoal,
During,generalize action,";	Do we always write <<transformation>> at the end of the both sides? 
;	Does the order of where we write <<transformation>> matter?
;	Can you summarize this action as a rule so that I can apply that rule for other similar equations at this state?
;	I see. Can you explain how do we get <<outcome>> in the LHS after applying <<transformation>> on it?
;	Can you explain how do we get <<outcome>>?"
