Problem Name	1	2	3	4	5	6	7	8	9	10	11
%(startStateNodeName)%	state64	state44	state15								
%(Question)%	Which is a better buy?<br><br>Option 1: 12 tickets for $18.00 <br>Option 2: 20 tickets for $25.00<br><br>The worksheets give you three different numbers of tickets that you could use to compare the two options.  Find the cost for each of the different numbers of tickets & decide which option is a better buy.	You are deciding cellular telephone plan to choose.  Which phone company offers a better deal?<br><br>Option 1: Phones-R-Us charges $60 for 3 months of basic service<br>Option 2: Tel-E-Phone charges $200 for a year of basic service<br><br>The worksheets give you four different numbers of months that you could use to compare the two options.  Find the cost for each of the different numbers of months & decide which company offers a better deal.	At a local theme park, which pass is a better deal?<br><br>Option 1: A half-day pass, good for 6 hours, costs $ 30<br>Option 2: A full-day pass, good for 10 hours, costs $40<br><br>The worksheets give you three different numbers of hours that you could use to compare the two options.  Find the cost for each of the different numbers of hours & decide which option is a better buy. 	Who made the most money for the amount of time spent working?<br><br>Option 1: You made $120 for mowing lawns for 60 hours<br>Option 2: Your brother made $60 for painting houses for 15 hours<br><br>The worksheets give you four different numbers of hours that you could use to compare the two options. Find the amount earned for each of the different numbers of hours & decide which option earned more money.	Jenny is buying lollipops to give out at her party.  Is it a better deal to buy lollipops in bags of 24 or bags of 60?<br><br>Option 1: 24 lollipops for $12<br>Option 2: 60 lollipops for $20<br><br>The worksheets give you three different numbers of lollipops that you could use to compare the two options.  Find the cost for each of the different numbers of lollipops & decide which option is a better buy.	Ed needs to buy cans of soda for a class picnic.  Which choice should he make if he wants to spend as little money as possible?<br><br>Option 1: Cases (24 cans in a case) for $8.40<br>Option 2: Six-packs for $2.40 each<br><br>The worksheets give you four different numbers of cans that you could use to compare the two options.  Find the cost for each of the different numbers of cans & decide which option is a better buy.	Your mom is buying your favorite cereal, Fruit-Ohs. Is it a better deal to buy the 24 oz. box or the 16 oz. box?<br><br>Option 1: A 24 oz. box full of Fruit-Ohs for $3<br>Option 2: A 16 oz. box full of Fruit-Ohs for $2.40<br><br>The worksheets give you three different numbers of ounces that you could use to compare the two options.  Find the cost for each of the different numbers of ounces & decide which option is a better buy.	Which is the better buy?<br><br>Option 1:  48 Cookies for $26.40<br>Option 2:  36 Cookies for $21.60.<br><br>The worksheets give you three different numbers of ounces that you could use to compare the two options.  Find the cost for each of the different numbers of cookies & decide which option is a better buy.	Which truck gets better millage?<br><br>Option 1:  15 Gallons for 45 miles.<br>Option 2.  45 Gallons for 90.9 miles.<br><br>The worksheets give you four different numbers of gallons that you could use to compare the two options.  Find the miles that can be driven for each of the different numbers of gallons & decide which option is a more efficient one.	Which is the better deal?<br><br>Option 1:  12 oz. of macaroni for $3.<br>Option 2:  16 oz of macaroni for $3.20<br><br>The worksheets give you three different numbers of ounces of macaroni that you could use to compare the two options.  Find the cost of each number of ounces of macaroni and decide which option is less expensive.	Which is the faster paint sprayer?<br><br>Option 1:  Paints 16 square feet in 12 minutes.<br>Option 2.  Paints 40 square feet in 28 minutes.<br><br>The worksheets give you three different amounts of square feet that you could use to compare the two paint sprayers.  Find the time for each paint sprayer and decide which option takes less time.
%(nameLeft)%	Number of Tickets	Number of Months	Number of Hours	Number of Hours	Number of Lollipops	Number of Soda Cans	Size of Fruit-Ohs Box (oz.)	Number of Cookies	Number of Gallons	Amount of Macaroni (oz.)	Area Painted (sq. ft)
%(nameMid)%	Cost of Tickets ($)	Cost of Service ($)	Cost of Pass ($)	Amount Earned ($)	Cost of Lollipops ($)	Cost of Soda Cans ($)	Cost of Fruit-Ohs Box ($)	Cost of Cookies ($)	Number of Miles	Cost of Macaroni($)	Time taken (mins)
%(firstLeft1-Questionvalue)%	12	3	6	60	24	24	24	48	15	12	16
%(firstMid1-Questionvalue)%	18	60	30	120	12	8.40	3	26.40	45	3	12
%(secondLeft1-Total)%	60	12	2	15	12	6	8	12	45	48	80
%(thirdLeft1-Total)%	4	6	30	120	3	12	48	4	5	4	4
%(fourthLeft1-Total)%	1	1	1	1	1	3	4	144	1	1	1
%(row1_title)%	Tickets	Months	Hours	Hours	Lollipops	Soda Cans	Size(oz.)	Cookies	Gallons	Amt(oz.)	Area
%(row2_title)%	Cost($)	Cost($)	Cost($)	Amt ($)	Cost($)	Cost($)	Cost ($)	Cost ($)	Miles	Cost($)	Time
%(firstLeft2-Questionvalue)%	20	12	10	15	60	6	16	36	45	16	40
%(firstMid2-Questionvalue)%	25	180	40	60	20	2.40	2.40	21.60	90.9	3.20	28
%(secondLeft2-Total)%	60	3	2	60	12	24	8	12	15	48	80
%(thirdLeft2-Total)%	4	6	30	120	3	12	48	4	5	4	4
%(fourthLeft2-Total)%	1	1	1	1	1	3	4	144	1	1	1
%(whichOption)%	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?	Which is the better Option?
%(nextButton1_1-Hint1)%	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.	The current "Show Your Work Area" in Option 1 displays a sample worksheet. Please Click on the ">>" Button to get to the worksheet for the next problem.
%(nextButton1_1-Hint2)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(row2_1.operationTickets1-Rvalue)%	*	*	/	/	/	/	/	/	*	*	*
%(row2_1.operationTickets1-Hint1)%	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?	Do you need multiplication or division for this problem?
