"xblock_id","type_of_xblock","title","sub_title","text","question","choices","image_url","correct_answer","hint","problem_name","skillname","html_url","brd_url"
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@fde535f5b1a04e2d9c864fa6caf506aa","Text Box Question","Text Box Question",,,"1+2",,"","3","Try hard!|Think again!|The last 3","something...","skillname",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@6fb74cfd33224ee5973ffa26f802187e","Text Box Question","Text Box Question",,,"2+2",,"","4","Try hard!|Think again!|The last 4","Enter a Problem Name here","Enter a Skill Name here",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@35a7596933f742768d751d81faf9c66c","Text Box Question","Text Box Question",,,"1+4",,"https://preview.ibb.co/cqTVUa/table.png","5","Try hard!|Think again!|The last 5","name","default",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@113f18bb80814200bf568d12d6c9936b","Multiple Choice Question","Simple Addition",,,"1 + 1 = ?","A. 0| B. 1| C. 2 |  D. 3","","3","Try hard!|Think again!|The answer is 2.","Simple Addition","simple-addition",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@54a3c63cbc8440c3aaa157b7098bc541","Multiple Choice Question","Simple Substraction",,,"2 - 1 = ?","A. 1| B. 2| C. 3","","1","Try hard!|Think again!|The answer is 1","Simple Substraction","simple-subtraction",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@3abddbcebf8a46d2b8ed0c72e871cde2","Multiple Choice Question","Simple Multiplication",,,"1 * 3 = ?","A. 1| B. 2| C. 3 | D. 4","","3","Try hard!|Think again!|The answer is 3","Simple Multiplication","simple-multiplication",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@a10c3ecf862a43539f4dcbf23dad8347","Multiple Choice Question","Simple Division",,,"6 / 2 = ?","A. 1 | B. 2 | C. 3","","3","Try hard!|Think again!|The answer is 3","Simple Division","simple-division",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@fde535f5b1a04e2d9c864fa6caf506aa","Text Box Question","Text Box Question",,,"1+2",,"","3","Try hard!|Think again!|The last 3","something...","skillname",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@6fb74cfd33224ee5973ffa26f802187e","Text Box Question","Text Box Question",,,"2+2",,"","4","Try hard!|Think again!|The last 4","Enter a Problem Name here","Enter a Skill Name here",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@35a7596933f742768d751d81faf9c66c","Text Box Question","Text Box Question",,,"1+4",,"https://preview.ibb.co/cqTVUa/table.png","5","Try hard!|Think again!|The last 5","name","default",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@fde535f5b1a04e2d9c864fa6caf506aa","Text Box Question","Text Box Question",,,"1+2",,"","3","Try hard!|Think again!|The last 3","something...","skillname",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@6fb74cfd33224ee5973ffa26f802187e","Text Box Question","Text Box Question",,,"2+2",,"","4","Try hard!|Think again!|The last 4","Enter a Problem Name here","Enter a Skill Name here",,
"block-v1:UniversityX+CS101+2015_T1+type@textbox+block@35a7596933f742768d751d81faf9c66c","Text Box Question","Text Box Question",,,"1+4",,"https://preview.ibb.co/cqTVUa/table.png","5","Try hard!|Think again!|The last 5","name","default",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@113f18bb80814200bf568d12d6c9936b","Multiple Choice Question","Simple Addition",,,"1 + 1 = ?","A. 0| B. 1| C. 2 |  D. 3","","3","Try hard!|Think again!|The answer is 2.","Simple Addition","simple-addition",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@54a3c63cbc8440c3aaa157b7098bc541","Multiple Choice Question","Simple Substraction",,,"2 - 1 = ?","A. 1| B. 2| C. 3","","1","Try hard!|Think again!|The answer is 1","Simple Substraction","simple-subtraction",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@3abddbcebf8a46d2b8ed0c72e871cde2","Multiple Choice Question","Simple Multiplication",,,"1 * 3 = ?","A. 1| B. 2| C. 3 | D. 4","","3","Try hard!|Think again!|The answer is 3","Simple Multiplication","simple-multiplication",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@a10c3ecf862a43539f4dcbf23dad8347","Multiple Choice Question","Simple Division",,,"6 / 2 = ?","A. 1 | B. 2 | C. 3","","3","Try hard!|Think again!|The answer is 3","Simple Division","simple-division",,
"block-v1:UniversityX+CS101+2015_T1+type@text+block@718971fd6f624c8aab8b60d70601e450","Text Paragraph","Simple Addition","Where does it come from?","Addition is written using the plus sign ""+"" between the terms; that is, in infix notation. The result is expressed with an equals sign. <br/>For example,  1 + 1 = 2  (""one plus one equals two"")<br/> 2 + 2 = 4  (""two plus two equals four"") <br/>3 + 3 = 6  (""three plus three equals six"") <br/> 5 + 4 + 2 = 11  (see ""associativity"" below) <br/>  3 + 3 + 3 + 3 = 12 (see ""multiplication"" below)",,,"http://s2.thingpic.com/images/aM/66Z85RGK3dwEJddnoDfhRx7k.jpeg",,,,"simple-addition",,
"block-v1:UniversityX+CS101+2015_T1+type@text+block@d6f553141837490c980ffc7c746b1c78","Text Paragraph","Simple Multiplication","","The multiplication of integers (including negative numbers), rational numbers (fractions) and real numbers is defined by a systematic generalization of this basic definition.  Multiplication can also be visualized as counting objects arranged in a rectangle (for whole numbers) or as finding the area of a rectangle whose sides have given lengths. The area of a rectangle does not depend on which side is measured first, which illustrates the commutative property. The product of two measurements is a new type of measurement, for instance multiplying the lengths of the two sides of a rectangle gives its area, this is the subject of dimensional analysis.  The inverse operation of multiplication is division. <br/><br/>For example, since 4 multiplied by 3 equals 12, then 12 divided by 3 equals 4. Multiplication by 3, followed by division by 3, yields the original number (since the division of a number other than 0 by itself equals 1).",,,"",,,,"simple-multiplication",,
"block-v1:UniversityX+CS101+2015_T1+type@text+block@cefcbfd1149b402ba0facc465042ae80","Text Paragraph","Simple Division","","The multiplication of integers (including negative numbers), rational numbers (fractions) and real numbers is defined by a systematic generalization of this basic definition.  Multiplication can also be visualized as counting objects arranged in a rectangle (for whole numbers) or as finding the area of a rectangle whose sides have given lengths. The area of a rectangle does not depend on which side is measured first, which illustrates the commutative property. The product of two measurements is a new type of measurement, for instance multiplying the lengths of the two sides of a rectangle gives its area, this is the subject of dimensional analysis.  The inverse operation of multiplication is division. For example, since 4 multiplied by 3 equals 12, then 12 divided by 3 equals 4. Multiplication by 3, followed by division by 3, yields the original number (since the division of a number other than 0 by itself equals 1).",,,"",,,,"simple-division",,
"block-v1:UniversityX+CS101+2015_T1+type@text+block@cd40e8a6e4d7497ab6c69b77e5b60a3d","Text Paragraph","Simple subtraction","","Subtraction follows several important patterns. It is anticommutative, meaning that changing the order changes the sign of the answer. It is not associative, meaning that when one subtracts more than two numbers, the order in which subtraction is performed matters. Subtraction of 0 does not change a number. Subtraction also obeys predictable rules concerning related operations such as addition and multiplication. All of these rules can be proven, starting with the subtraction of integers and generalizing up through the real numbers and beyond. General binary operations that continue these patterns are studied in abstract algebra.",,,"",,,,"simple-subtraction",,
"block-v1:UniversityX+CS101+2015_T1+type@text+block@ec036e3157e14407b4cc117a491a1b95","Text Paragraph","Simple addition","","Performing addition is one of the simplest numerical tasks. Addition of very small numbers is accessible to toddlers; the most basic task, 1 + 1, can be performed by infants as young as five months and even some members of other animal species. In primary education, students are taught to add numbers in the decimal system, starting with single digits and progressively tackling more difficult problems. Mechanical aids range from the ancient abacus to the modern computer, where research on the most efficient implementations of addition continues to this day.",,,"",,,,"simple-addition",,
"block-v1:UniversityX+CS101+2015_T1+type@text+block@5d5eb2db7bb94fb7b13265b44891f4e6","Text Paragraph","Simple Multiplication","","Multiplication can also be visualized as counting objects arranged in a rectangle (for whole numbers) or as finding the area of a rectangle whose sides have given lengths. The area of a rectangle does not depend on which side is measured first, which illustrates the commutative property. The product of two measurements is a new type of measurement, for instance multiplying the lengths of the two sides of a rectangle gives its area, this is the subject of dimensional analysis.",,,"",,,,"simple-multiplication",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@113f18bb80814200bf568d12d6c9936b","Multiple Choice Question","Simple Addition",,,"1 + 1 = ?","A. 0| B. 1| C. 2 |  D. 3","","3","Try hard!|Think again!|The answer is 2.","Simple Addition","simple-addition",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@54a3c63cbc8440c3aaa157b7098bc541","Multiple Choice Question","Simple Substraction",,,"2 - 1 = ?","A. 1| B. 2| C. 3","","1","Try hard!|Think again!|The answer is 1","Simple Substraction","simple-subtraction",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@3abddbcebf8a46d2b8ed0c72e871cde2","Multiple Choice Question","Simple Multiplication",,,"1 * 3 = ?","A. 1| B. 2| C. 3 | D. 4","","3","Try hard!|Think again!|The answer is 3","Simple Multiplication","simple-multiplication",,
"block-v1:UniversityX+CS101+2015_T1+type@mcqs+block@a10c3ecf862a43539f4dcbf23dad8347","Multiple Choice Question","Simple Division",,,"6 / 2 = ?","A. 1 | B. 2 | C. 3","","3","Try hard!|Think again!|The answer is 3","Simple Division","simple-division",,
