Row	Sample Name	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level(Unit)	Problem Name	Step Name	Attempt At Step	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC(Default)	KC Category(Default)	KC(Single-KC)	KC Category(Single-KC)	KC(Unique-step)	KC Category(Unique-step)	School	Class	CF(USERID)	CF(tool_event_time)	CF(tutor_event_time)
1	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:49:47.0	US/Eastern	1	ATTEMPT				Pre-Test Version A	ATest																	CMU		NUPEXMXaM		
2	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:49:52.0	US/Eastern	5	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem1_box UpdateTextField	1	CORRECT	eq_problem1_box	UpdateTextField	1					unnamed		Single-KC		KC130		CMU			2010-02-04 19:49:52.555 UTC	2010-02-04 19:49:53.133 UTC
3	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:49:53.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem2_box UpdateTextField	1	CORRECT	eq_problem2_box	UpdateTextField	2					unnamed		Single-KC		KC125		CMU			2010-02-04 19:49:53.647 UTC	2010-02-04 19:49:54.006 UTC
4	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:49:55.0	US/Eastern	2	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem3_box UpdateTextField	1	CORRECT	eq_problem3_box	UpdateTextField	3					unnamed		Single-KC		KC87		CMU			2010-02-04 19:49:55.254 UTC	2010-02-04 19:49:55.909 UTC
5	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:49:56.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem4_box UpdateTextField	1	CORRECT	eq_problem4_box	UpdateTextField	4					unnamed		Single-KC		KC104		CMU			2010-02-04 19:49:56.783 UTC	2010-02-04 19:49:56.986 UTC
6	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:49:57.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem5_box UpdateTextField	1	CORRECT	eq_problem5_box	UpdateTextField	5					unnamed		Single-KC		KC141		CMU			2010-02-04 19:49:57.641 UTC	2010-02-04 19:49:57.984 UTC
7	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:49:59.0	US/Eastern	2	ATTEMPT		RESULT		Pre-Test Version A	ATest	eq_problem6_box UpdateTextField	1	CORRECT	eq_problem6_box	UpdateTextField	6					unnamed		Single-KC		KC23		CMU			2010-02-04 19:49:59.560 UTC	2010-02-04 19:49:59.825 UTC
8	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:01.0	US/Eastern	2	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option1 UpdateMultipleChoice	1	CORRECT	LT_problem1_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC133		CMU			2010-02-04 19:50:01.307 UTC	2010-02-04 19:50:01.572 UTC
9	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:02.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option2 UpdateMultipleChoice	1	CORRECT	LT_problem1_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC37		CMU			2010-02-04 19:50:02.165 UTC	2010-02-04 19:50:02.399 UTC
10	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:02.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option3 UpdateMultipleChoice	1	CORRECT	LT_problem1_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC78		CMU			2010-02-04 19:50:02.867 UTC	2010-02-04 19:50:03.101 UTC
11	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:03.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option4 UpdateMultipleChoice	1	CORRECT	LT_problem1_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC129		CMU			2010-02-04 19:50:03.600 UTC	2010-02-04 19:50:03.943 UTC
12	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:04.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option5 UpdateMultipleChoice	1	CORRECT	LT_problem1_option5	UpdateMultipleChoice	True					unnamed		Single-KC		KC59		CMU			2010-02-04 19:50:04.442 UTC	2010-02-04 19:50:04.645 UTC
13	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:05.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option6 UpdateMultipleChoice	1	CORRECT	LT_problem1_option6	UpdateMultipleChoice	True					unnamed		Single-KC		KC152		CMU			2010-02-04 19:50:05.176 UTC	2010-02-04 19:50:05.410 UTC
14	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:05.0	US/Eastern	0.5	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem1_option7 UpdateMultipleChoice	1	CORRECT	LT_problem1_option7	UpdateMultipleChoice	True					unnamed		Single-KC		KC81		CMU			2010-02-04 19:50:05.737 UTC	2010-02-04 19:50:05.987 UTC
15	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:06.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option1 UpdateMultipleChoice	1	CORRECT	LT_problem2_option1	UpdateMultipleChoice	True					unnamed		Single-KC		KC55		CMU			2010-02-04 19:50:06.892 UTC	2010-02-04 19:50:07.219 UTC
16	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:07.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option2 UpdateMultipleChoice	1	CORRECT	LT_problem2_option2	UpdateMultipleChoice	True					unnamed		Single-KC		KC71		CMU			2010-02-04 19:50:07.625 UTC	2010-02-04 19:50:07.812 UTC
17	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:08.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option3 UpdateMultipleChoice	1	CORRECT	LT_problem2_option3	UpdateMultipleChoice	True					unnamed		Single-KC		KC25		CMU			2010-02-04 19:50:08.374 UTC	2010-02-04 19:50:08.545 UTC
18	All Data	Stu_437a876c59e12385077b3687e78f8e92	L7778b9ed:1269a87d8a4:-8000	2010-02-04 14:50:09.0	US/Eastern	1	ATTEMPT		RESULT		Pre-Test Version A	ATest	LT_problem2_option4 UpdateMultipleChoice	1	CORRECT	LT_problem2_option4	UpdateMultipleChoice	True					unnamed		Single-KC		KC9		CMU			2010-02-04 19:50:09.497 UTC	2010-02-04 19:50:09.668 UTC
